,Aciertos,Fallos,Porcentaje Aciertos,Num Pixeles
Citricos Frutal,7,20481,0.0003416634127294026,20488
Citricos,26,840,0.03002309468822171,866
Citricos-Frutal de cascara,0,31,0.0,31
Citricos-Viñedo,78689,16,0.9997967092306715,78705
Frutal de Cascara-Frutal,115,70883,0.0016197639370123102,70998
Frutal de Cascara-Olivar,6844,7652,0.47213024282560706,14496
Frutal de Cascara,258062,370890,0.4103047609356517,628952
Frutal de Cascara-Viñedo,92,576,0.1377245508982036,668
Frutal,235756,586604,0.28668223162605183,822360
Invernadero y cultivos bajo plastico,905,7310,0.11016433353621424,8215
Olivar-Citricos,411,877,0.3190993788819876,1288
Olivar-Frutal,4768,5664,0.4570552147239264,10432
Olivar,24289569,33531421,0.4200822054413112,57820990
Tierra Arable,3070697,3002633,0.5056035156989658,6073330
Huerta,21523,30242,0.415782864870086,51765
Frutal-Viñedo,600,1057,0.3621001810500905,1657
Viñedo,14025,17045,0.4514000643707757,31070
Olivar-Viñedo,2022,2108,0.48958837772397096,4130
